Severity,Principal_Components_0,Principal_Components_1,Principal_Components_2,Principal_Components_3,Principal_Components_4,Principal_Components_5,Principal_Components_6,Principal_Components_7,Principal_Components_8,Principal_Components_9,Principal_Components_10,Principal_Components_11,Principal_Components_12,Principal_Components_13,Principal_Components_14,Principal_Components_15,Principal_Components_16,Principal_Components_17,Principal_Components_18,Principal_Components_19,Principal_Components_20,Principal_Components_21,Principal_Components_22,Principal_Components_23,Principal_Components_24,Principal_Components_25,Principal_Components_26,Principal_Components_27,Principal_Components_28,Principal_Components_29,Principal_Components_30,Principal_Components_31,Principal_Components_32,Principal_Components_33,Principal_Components_34,Principal_Components_35,Principal_Components_36,Principal_Components_37,Principal_Components_38,Principal_Components_39,Principal_Components_40,Principal_Components_41,Principal_Components_42,Principal_Components_43,Principal_Components_44,Principal_Components_45,Principal_Components_46,Principal_Components_47,Principal_Components_48,Principal_Components_49
macule,-1554.128315973712,1996.2507827545141,-1312.6271535014494,-1329.5077362658951,21.873590475168022,651.2676030678606,-1616.833636309693,32.79648379071746,-2103.919098301265,-1057.463954577606,1112.6516588980483,-458.40403944961463,-379.7097371789759,-1557.1428382409163,-849.248156210776,47.04201303711442,-213.78498414969027,113.23888544768988,-742.3537257828414,1471.1137130173718,507.9140046647924,260.7334272991741,-73.29955280910266,-19.272980528678218,-594.6438433077415,395.97936360658156,144.1034678916439,-210.57749308726582,-89.08307033332784,221.03029951925302,-303.79648943135305,-266.47567699810566,428.6225211452496,155.55226490074105,-216.76672874621343,-638.4239824886204,20.113274369288856,156.55074337119328,259.14571786626925,104.29741328296042,418.18498407713423,220.787348323623,366.46332993737275,855.0230192705893,-254.99008257771828,-243.4225395786999,269.1125964672262,205.36139181675986,-284.91470626762805,185.777823266981
macule,1974.8530158515418,-1640.2482805256577,-3395.450201103105,-135.50130682999958,-112.33396894481193,34.67865224599572,-1484.157595611665,460.30127259554,-618.0842403212376,-210.7973450573699,-1359.144665890158,-825.2237915950378,85.5653019938091,-1863.803667654624,-657.4367359321354,-504.2376424018893,-434.12880992663554,-185.431007093514,-1020.272074631457,-193.08254488325272,-453.0534943141513,-124.08197196332763,205.07958943929972,-314.15395761878466,274.70200106079267,-452.8491010273169,-18.8175135398543,80.11584191074998,-232.5851495171426,-63.4499562957777,468.91214740974925,79.52625465211344,-2.878738385377093,184.31553105746195,169.27522964517993,103.0315664612989,422.22322177980834,278.55789023488836,-161.8626434172194,-270.2927959816666,135.43226257536944,-6.275904181874838,104.66456100466507,-247.50264967720122,384.61717148656516,-57.885277916369766,238.3309959306768,-34.45259350075881,507.4136200919493,-357.29372454062
macule,1403.1919925836594,-430.22348133751325,-2386.784990774675,-444.5474905132229,970.8298820695916,-1386.7522674571703,-565.9952051740607,-277.54003294263157,98.4059532026631,-577.2555316081766,-1623.2355664116747,-504.9249839083608,-237.6276575133442,-1402.254894756654,377.494291049144,25.856366390092184,-266.6596590990046,91.49027292240152,84.23812512045356,800.228580408443,-1295.0927285462699,336.0250054600666,-125.12498703124352,228.91607082498686,-1066.9960649202396,905.7306654953956,230.44524286359112,-822.2274866839217,-441.6919352494227,394.0953244004182,471.4029243416431,-590.9109520188837,150.6639997488062,-475.4907806812732,216.49681374512795,-132.90424135045666,-99.34151769013187,-47.742038586998405,-104.19799526636756,-14.194910275279858,-190.4618231312154,88.06759133106107,86.96658848344083,351.7331666420774,191.83524244609958,-190.78770326214578,-219.46197938177997,95.92553046051742,210.23263211403463,71.25822340389765
macule,503.6622809813651,-1647.586186915112,525.4095475715673,-843.8895936447765,-593.7553659858635,572.5493970798643,-2032.329249649058,437.0045436377151,1286.9546494286049,104.49525776779629,760.4187989451262,-1.0243886802658804,190.3024234279946,-1604.4171407515155,-282.41672705721686,641.7819363015072,-210.6078114727466,-86.94892918143981,202.3200813730214,-1375.5691808471495,783.9288813634756,-390.4721142197478,-419.17537958410026,-466.15444521772656,-758.850195723866,-711.5079670724759,364.92495043502794,-38.36280987432965,-393.74681749291915,-494.9112380601651,-56.010798013173755,1086.1828798139325,-494.8837820244636,-384.22656921428467,-566.1298035555643,217.51872778363085,113.14115943470001,-83.86197899906189,681.3736007179955,154.85005919200344,-5.882574938331109,793.5236362569445,-297.6739406903276,-3.8426322792270313,-32.690936605523,-527.7630670435952,-367.0807349400343,93.15698387801423,-298.45609098847336,294.0298732627896
macule,1197.027515481776,764.927517542144,-3563.3047914034414,-256.13536184987225,268.1157421574112,381.84983330421085,-1256.3636100566669,2.3818681189624984,-1210.9126333823372,109.97619831233114,-284.7137813414373,1317.2079039013458,-91.82645667016514,-1401.8152816225277,157.3140587349731,465.65981492266326,538.4913177400668,-777.9850308484312,238.896800573551,-45.64119937203116,277.40024349444195,-537.460555043519,18.88663773454632,581.4635597537098,124.35719326553188,2.835886122258357,-359.95510158385366,-118.08089963004512,783.2835020180144,-272.93120779767594,452.8868462896797,153.8295402583429,-83.56909332053932,-279.6181011738503,-52.84315633243627,786.9084332496121,222.6143023347469,75.50110717116549,-78.86214617578538,321.7211690034889,-149.7713878693459,-39.840046126086364,382.43663503293266,-201.52836919663707,281.1716872744498,-41.93167918517652,-52.9466831664846,-153.54697809823483,-199.28143876885014,-46.417459772916054
macule,216.79675030982744,3095.822082500686,-1900.8700766741163,-740.4798651315252,1482.959608763316,1175.244847280151,306.35956404326885,91.17865852811333,-31.93095726804892,-609.5752720657382,1211.7261457845957,973.6236964115088,-143.98040837923415,-1331.7423632996042,1005.1259612706823,-52.700366871409834,-986.6726352646067,-932.9173692013034,4.791571153414134,3.433581487846875,-175.1277382875594,403.29638592407866,-121.03837667033591,15.287439425284006,265.701080696798,-193.35570255775454,-9.22161166822878,98.39348183018167,705.616536038606,642.4479529293635,132.89666533970006,-121.81204285054018,-276.33577915035545,-72.79492558476618,520.8976338267489,347.40503109798306,-280.5975943122677,-56.53938051305631,-190.46676075124904,583.7614326527518,76.86259000122347,-69.7191872800255,3.360059796807268,-324.7783350732745,285.47512219358936,-405.73087360741494,190.21934854336953,-184.47098823292146,16.33680118174377,253.32274985419866
macule,2006.9145518113432,1539.1642746122366,-1814.2654882206248,70.83443098194445,74.30616345881529,783.0946612803045,-1149.547141440728,-1273.9512246951872,-1443.2406140184526,-471.9366140646112,-640.0233621966756,-1835.6155308968177,-361.4637591241306,-1228.6196984589835,-790.5306415613423,-560.4413590913689,255.00739292930507,-180.35429754686734,-560.0792364168444,710.5882785504738,8.88448176145985,-375.8875587469652,-149.03413332895266,-725.8856665639836,-174.2846975532887,-464.27350560557784,360.48178245353387,-5.70189745327519,-231.30830771136826,129.3187533524017,334.8762843488249,54.19760348924043,72.44826624522925,349.2721764532826,98.94081054244144,86.89827445466778,239.60031701894874,-142.58865424356785,-105.28778285641644,327.36853681033733,59.62680432065837,-245.57706912185068,146.25267708285338,104.90139350294523,-161.73828226379678,131.38899740918714,127.07146186550816,121.34479373481899,481.8362828057426,122.44056961982753
macule,-2260.0653539372097,-3275.327140755283,-487.85909768298353,-574.2761793218834,-784.2997189559428,-1668.019046599168,194.74200342104442,1395.7944793144886,1042.9502896697268,653.8355813612602,874.2516048655532,-299.77906256829607,-1030.4627630455238,-1478.3151360332813,-885.7058924201849,-983.0580526540177,-768.0397724451535,450.13130980897625,231.1498217153918,-840.9067606602547,247.01940968825784,-187.15096270716654,-252.8820223288215,554.2106065757948,-85.7746476353981,-48.9398142992311,-134.46845443229884,-249.6237928666401,-166.54787534098207,57.80024397068976,21.413750072366568,-195.45354972743476,247.78939362892174,-151.08604464131886,-472.26447898511617,16.35187793133664,9.745177356170856,-282.2571618192146,367.24819953845065,-54.45807545814118,-825.6178689514852,-132.67255702335373,205.72428929072575,145.98121771568663,368.64399186135677,106.85133920467426,-273.3679879601318,-14.311065357999032,527.3321810932717,122.3590383591259
macule,179.7239784056088,682.0711552934325,393.8846843035929,-526.7332517178946,-893.298838327094,-992.7464517661937,-409.9314528419314,-916.6655493966749,175.61080893881996,-1394.7180522623073,688.3925925235958,-556.5959169003387,454.55819168842044,-1835.0354808141683,-231.4215723272468,361.6595609062755,672.6132405621594,-307.7089621410547,-236.06577374196422,840.3844684747409,60.04740266208551,-95.49529685686866,230.7449490375042,-24.687385872396238,23.705833174595234,19.019527165529084,-254.73158897554615,405.565084685496,44.86435377219199,503.8686704383468,-42.820768534869394,-371.7139017102976,-290.85982259180713,262.61528841804164,-345.7540212730667,158.2477752279028,-93.93447946424126,-534.3011274785833,-129.99215263403846,934.1650370266276,340.6265309072699,-346.74340538662597,-282.8423730869951,-125.51831916058984,85.01406297440133,-297.84254601357424,175.8865727237167,-34.613863561592204,32.32267170062272,472.22852619571466
macule,2131.550960713819,2025.4836224276958,-2645.3204005509338,43.38201975248963,186.17848870140884,1387.4893752264602,-770.9118401736687,-213.33490953778173,-1764.0225471551676,-426.7910287297055,-63.13152678169883,331.52952895333743,169.88746202643847,-1423.9116385056475,-88.01720713220054,-160.53684371477303,468.65980901699896,-1213.4626839743075,359.06845393478596,-97.82050626512726,207.60095711232205,-242.80891273459847,241.95068748164675,461.80788717547597,130.739378399926,661.4132782915575,-92.37390495423368,-423.41445121793765,350.36196132562526,-248.76535365462342,105.63579474083456,599.2434559773602,173.97641806652763,-191.01086734033203,-197.16938104470773,222.55069527251302,-11.218231621698381,379.71964901455675,-269.0301112206106,-82.69925066601178,-273.97413816055894,385.8936048772092,-419.34110144838263,-160.16854406049484,36.74734287621125,181.2329744014535,-147.73733541157372,-52.40534801641928,-270.0597468230299,56.05963633174519
